rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
166,Dylan Cardwell,SAC,F,3500,22.5,28.1,16.9,8.03,5.3,7.5,1.2,0.0,0.7,1.7,0.8,27
167,Kyle Filipowski,UTA,F,3500,22.42,28.0,16.8,8.0,9.6,6.6,2.0,0.9,0.7,0.4,1.4,52
168,Dylan Harper,SAS,F,3500,22.41,28.0,16.8,8.0,10.7,3.3,3.5,0.6,0.9,0.4,1.4,41
169,Jordan Poole,NOP,F,4350,22.41,28.0,16.8,6.44,14.5,1.8,3.1,2.5,0.7,0.3,1.9,28
170,T.J. McConnell,IND,F,3500,22.34,27.9,16.8,7.97,9.5,2.2,4.8,0.3,1.2,0.2,1.2,39
171,De'Andre Hunter,SAC,F,4110,22.32,27.9,16.7,6.79,13.7,4.1,2.0,1.7,0.7,0.1,1.7,45
172,Marvin Bagley III,DAL,F,3500,22.31,27.9,16.7,7.97,10.3,5.8,1.5,0.2,0.5,0.8,1.1,39
173,Andre Drummond,PHI,F,3500,22.16,27.7,16.6,7.91,6.9,8.8,0.8,0.5,0.6,0.9,1.0,38
174,Mitchell Robinson,NYK,F,3500,22.08,27.6,16.6,7.89,4.8,8.9,1.0,0.0,0.8,1.1,0.6,38
175,Kevin Huerter,DET,F,3500,22.04,27.5,16.5,7.86,10.6,3.7,2.6,1.5,0.8,0.6,1.1,46
176,Max Christie,DAL,F,3990,21.98,27.5,16.5,6.89,13.3,3.4,2.2,2.5,0.5,0.3,1.1,48
177,Herbert Jones,NOP,SF,5000,21.95,27.4,16.5,5.48,9.0,3.5,2.5,1.3,1.6,0.5,1.3,31
178,Ryan Kalkbrenner,CHA,F,3500,21.95,27.4,16.5,7.83,8.4,6.0,0.7,0.0,0.6,1.5,1.0,41
179,Jordan Goodwin,PHX,F,3500,21.86,27.3,16.4,7.8,8.7,4.8,2.2,1.5,1.5,0.2,1.0,50
180,Jake LaRavia,LAL,F,3500,21.72,27.1,16.3,7.74,9.3,4.1,2.0,1.1,1.4,0.5,1.2,51
181,Anfernee Simons,CHI,F,4290,21.63,27.0,16.2,6.29,14.3,2.4,2.5,2.7,0.5,0.1,1.1,51
182,Khris Middleton,DAL,F,3500,21.53,26.9,16.1,7.69,10.3,3.9,3.3,1.0,0.8,0.3,1.7,34
183,Jay Huff,IND,F,3500,21.51,26.9,16.1,7.69,8.6,3.8,1.3,1.4,0.5,1.9,0.8,53
184,Cameron Johnson,DEN,F,3540,21.37,26.7,16.0,7.54,11.8,3.6,2.3,1.9,0.6,0.3,0.9,29
185,Al Horford,GSW,F,3500,21.31,26.6,16.0,7.6,7.4,4.8,2.3,1.5,0.8,1.1,1.0,32
186,Cam Thomas,BKN,F,4680,21.31,26.6,16.0,5.68,15.6,1.8,3.1,1.6,0.2,0.1,2.0,24
187,Bub Carrington,WAS,F,3500,21.3,26.6,16.0,7.6,10.2,3.5,4.6,2.1,0.6,0.2,2.4,52
188,Collin Murray-Boyles,TOR,F,3500,21.25,26.6,15.9,7.6,7.9,5.0,2.1,0.4,0.9,0.9,1.2,43
189,Aaron Wiggins,OKC,F,3500,21.18,26.5,15.9,7.57,10.9,3.4,1.8,1.9,1.0,0.6,1.3,38
190,Steven Adams,HOU,F,3500,21.17,26.5,15.9,7.57,5.8,8.6,1.5,0.0,0.7,0.6,1.1,32
191,Moses Moody,GSW,F,3500,21.06,26.3,15.8,7.51,11.4,3.3,1.4,2.4,0.9,0.6,0.9,51
192,Robert Williams III,POR,F,3500,21.05,26.3,15.8,7.51,6.4,6.5,1.1,0.1,0.6,1.4,0.8,36
193,Cason Wallace,OKC,F,3500,20.95,26.2,15.7,7.49,8.2,3.0,2.1,1.4,2.1,0.2,0.9,50
194,Ace Bailey,UTA,F,3500,20.94,26.2,15.7,7.49,11.5,3.7,1.6,1.5,0.8,0.5,1.3,46
195,Tim Hardaway Jr.,DEN,F,4200,20.94,26.2,15.7,6.24,14.0,2.7,1.4,2.8,0.5,0.2,0.5,52
196,Maxime Raynaud,SAC,F,3500,20.88,26.1,15.7,7.46,9.7,6.4,1.0,0.2,0.5,0.5,1.0,46
197,Egor Dëmin,BKN,F,3500,20.87,26.1,15.7,7.46,10.7,3.1,3.3,2.5,0.8,0.3,1.8,45
198,Tre Johnson,WAS,F,3870,20.74,25.9,15.6,6.69,12.9,2.7,2.2,2.2,0.6,0.3,1.4,39
199,Vince Williams Jr.,UTA,F,3500,20.73,25.9,15.5,7.4,7.8,3.9,4.3,1.4,0.8,0.4,1.8,35
200,Zaccharie Risacher,ATL,F,3500,20.7,25.9,15.5,7.4,10.9,3.5,1.4,1.6,0.9,0.6,1.0,40
201,Malik Monk,SAC,F,3720,20.6,25.8,15.5,6.94,12.4,2.0,2.6,2.1,0.7,0.4,1.4,43
202,Marcus Smart,LAL,F,3500,20.5,25.6,15.4,7.31,9.6,3.0,2.8,1.5,1.2,0.4,1.7,42
203,Pelle Larsson,MIA,F,3500,20.41,25.5,15.3,7.29,10.2,3.3,3.3,0.9,0.6,0.2,1.1,45
204,Jarace Walker,IND,F,3500,20.4,25.5,15.3,7.29,10.3,4.5,2.0,1.6,0.8,0.3,1.6,53
205,Sam Merrill,CLE,F,3930,20.39,25.5,15.3,6.49,13.1,2.2,2.3,3.3,0.6,0.1,0.9,29
206,Kyle Anderson,MEM,F,3500,20.38,25.5,15.3,7.29,7.3,3.4,3.0,0.1,1.2,0.6,0.9,21
207,Duncan Robinson,DET,F,3630,20.34,25.4,15.3,7.0,12.1,2.7,1.8,3.0,0.7,0.3,0.7,49
208,Jaylen Wells,MEM,F,3600,20.25,25.3,15.2,7.03,12.0,3.5,1.7,1.8,0.8,0.1,1.2,50
209,Dominick Barlow,PHI,F,3500,20.2,25.2,15.1,7.2,8.4,5.0,1.2,0.4,1.0,0.6,0.8,42
