rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
433,Amari Williams,BOS,F,3500,5.92,7.4,4.4,2.11,1.6,2.1,0.4,0.0,0.1,0.6,0.4,14
434,JD Davison,HOU,F,3500,5.88,7.3,4.4,2.09,2.2,0.9,1.1,0.3,0.2,0.2,0.3,24
435,Hunter Tyson,DEN,F,3500,5.84,7.3,4.4,2.09,2.2,1.7,0.8,0.3,0.1,0.0,0.2,21
436,Wendell Moore Jr.,DET,F,3500,5.84,7.3,4.4,2.09,2.0,1.2,0.6,0.0,0.4,0.4,0.2,5
437,Yang Hansen,POR,F,3500,5.84,7.3,4.4,2.09,2.2,1.7,0.7,0.2,0.1,0.3,0.9,31
438,Elijah Harkless,UTA,F,3500,5.83,7.3,4.4,2.09,2.4,0.9,0.7,0.3,0.6,0.0,0.4,7
439,Jae'Sean Tate,HOU,F,3500,5.8,7.2,4.3,2.06,2.6,1.5,0.5,0.2,0.2,0.1,0.3,31
440,Anthony Gill,WAS,F,3500,5.77,7.2,4.3,2.06,2.3,1.6,0.3,0.1,0.4,0.2,0.4,27
441,Taelon Peter,IND,F,3500,5.55,6.9,4.2,1.97,1.9,1.0,0.9,0.5,0.3,0.1,0.4,23
442,Mohamed Diawara,NYK,F,3500,5.52,6.9,4.1,1.97,2.5,1.1,0.5,0.5,0.2,0.1,0.3,43
443,Lachlan Olbrich,CHI,F,3500,5.41,6.8,4.1,1.94,1.1,2.3,0.8,0.1,0.1,0.1,0.3,16
444,Rasheer Fleming,PHX,F,3500,5.26,6.6,3.9,1.89,2.4,1.3,0.2,0.3,0.2,0.2,0.2,29
445,Antonio Reeves,CHA,F,3500,5.19,6.5,3.9,1.86,3.0,0.7,0.3,0.7,0.1,0.0,0.0,7
446,Doug McDermott,SAC,F,3500,5.19,6.5,3.9,1.86,3.0,0.7,0.2,1.0,0.0,0.1,0.3,9
447,Jordan McLaughlin,SAS,F,3500,5.14,6.4,3.9,1.83,2.0,0.7,0.7,0.4,0.5,0.0,0.3,24
448,Brooks Barnhizer,OKC,F,3500,5.04,6.3,3.8,1.8,1.6,1.7,0.5,0.2,0.2,0.1,0.3,28
449,Bronny James,LAL,F,3500,4.93,6.2,3.7,1.77,1.9,0.4,1.1,0.3,0.4,0.0,0.4,27
450,Andre Jackson Jr.,MIL,F,3500,4.81,6.0,3.6,1.71,1.5,0.8,1.0,0.2,0.3,0.1,0.3,24
451,Jamal Cain,ORL,F,3500,4.69,5.9,3.5,1.69,2.7,0.7,0.3,0.3,0.2,0.1,0.4,19
452,Leonard Miller,CHI,F,3500,4.66,5.8,3.5,1.66,2.2,1.3,0.3,0.1,0.3,0.0,0.5,20
453,Amir Coffey,PHX,F,3500,4.63,5.8,3.5,1.66,2.4,0.9,0.4,0.2,0.1,0.1,0.1,30
454,Jonathan Mogbo,TOR,F,3500,4.47,5.6,3.4,1.6,1.3,1.6,0.4,0.0,0.2,0.2,0.3,23
455,Drew Peterson,CHA,F,3500,4.45,5.6,3.3,1.6,0.8,1.5,0.3,0.0,0.5,0.2,0.0,6
456,Chris Youngblood,OKC,F,3500,4.38,5.5,3.3,1.57,2.0,0.9,0.3,0.5,0.1,0.1,0.1,32
457,Isaiah Crawford,HOU,F,3500,4.28,5.4,3.2,1.54,1.4,0.4,0.4,0.2,0.4,0.4,0.0,5
458,Jeff Green,HOU,F,3500,4.27,5.3,3.2,1.51,2.3,0.6,0.2,0.6,0.1,0.1,0.1,18
459,Javonte Cooke,POR,F,3500,4.26,5.3,3.2,1.51,1.6,0.8,0.5,0.2,0.5,0.0,0.5,13
460,Malevy Leons,GSW,F,3500,4.26,5.3,3.2,1.51,1.2,1.8,0.2,0.0,0.2,0.2,0.4,5
461,Jahmir Young,MIA,F,3500,4.25,5.3,3.2,1.51,2.1,0.5,0.8,0.3,0.1,0.0,0.3,8
462,Mark Sears,MIL,F,3500,4.21,5.3,3.2,1.51,3.1,0.3,0.3,0.6,0.0,0.0,0.6,7
463,E.J. Liddell,BKN,F,3500,4.12,5.2,3.1,1.49,2.2,1.1,0.0,0.4,0.1,0.0,0.0,10
464,Lindy Waters III,SAS,F,3500,4.11,5.1,3.1,1.46,1.9,0.8,0.4,0.5,0.1,0.0,0.1,28
465,Caleb Houstan,ATL,F,3500,4.0,5.0,3.0,1.43,2.3,0.5,0.2,0.6,0.1,0.1,0.4,10
466,Kyle Lowry,PHI,F,3500,3.95,4.9,3.0,1.4,1.0,0.5,1.2,0.3,0.2,0.0,0.3,6
467,Nigel Hayes-Davis,PHX,F,3500,3.94,4.9,3.0,1.4,1.3,1.2,0.3,0.1,0.3,0.1,0.3,27
468,Adou Thiero,LAL,F,3500,3.84,4.8,2.9,1.37,1.3,1.2,0.3,0.0,0.3,0.1,0.3,15
469,Johnny Juzang,MIN,F,3500,3.81,4.8,2.9,1.37,2.0,0.8,0.3,0.3,0.1,0.0,0.2,21
470,Johni Broome,PHI,F,3500,3.68,4.6,2.8,1.31,1.1,1.4,0.4,0.0,0.2,0.0,0.2,9
471,Trey Jemison III,NYK,F,3500,3.35,4.2,2.5,1.2,0.9,1.5,0.2,0.0,0.1,0.2,0.5,10
472,Curtis Jones,DEN,F,3500,3.31,4.1,2.5,1.17,1.5,0.8,0.5,0.2,0.0,0.0,0.2,6
